1001,Ufia Galon,18000,Gln,Minuman,Air Mineral
1002,Ufia 240 ml,23500,Dus,Minuman,Air Mineral
1003,Ufia 330 ml,35000,Dus,Minuman,Air Mineral
1004,Ufia 600 ml,39000,Dus,Minuman,Air Mineral
1005,Ufia 1500 ml,39000,Dus,Minuman,Air Mineral
1010,Aqua Galon,18000,Gln,Minuman,Air Mineral
1025,Frestea Greenhoney 500 ml,6000,Pcs,Minuman,Teh
1026,Frestea Milktea 330 ml,7500,Pcs,Minuman,Teh
1027,Sprite Minuman Soda 250 ml,3500,Pcs,Minuman,Bersoda
1028,Fanta Minuman Soda 250 ml,3500,Pcs,Minuman,Bersoda
1029,Coca Cola Minuman Soda 390 ml,5000,Pcs,Minuman,Bersoda
1030,Sprite Minuman Soda 390 ml,5000,Pcs,Minuman,Bersoda
1031,Fanta Minuman Soda 390 ml,5000,Pcs,Minuman,Bersoda
1032,Coca Cola Minuman Soda 250 ml,3500,Pcs,Minuman,Bersoda
1033,Minute Maid Pulpy Grape 300 ml,5000,Pcs,Minuman,Buah
1034,Minute Maid Pulpy Guava 300 ml,5000,Pcs,Minuman,Buah
1035,Minute Maid Pulpy Orange 300 ml,5000,Pcs,Minuman,Buah
1036,Frestea Apple 350 ml,4000,Pcs,Minuman,Teh
1037,Frestea Jasmine 350 ml,4000,Pcs,Minuman,Teh
1038,Frestea Green Honey 350 ml,4000,Pcs,Minuman,Teh
1039,Frestea Apple 500 ml,6500,Pcs,Minuman,Teh
1041,Susu Tango 250 ml,5000,Pcs,Minuman,Susu
1042,Nutriboost strawberry 300 ml,7000,Pcs,Minuman,Susu
1045,Kopiko Lucky Day 180 ml,7000,Pcs,Minuman,Kopi
1046,Tora cafe 180 ml,3500,Pcs,Minuman,Kopi
1836,Beras Medium 5kg,54500,Krg,Sembako,Beras
2001,Elpiji 12 kg,225000,Tbg,Sembako,Gas
2002,Tabung Elpiji 12 Kg,475000,Tbg,Sembako,Gas
2003,Tabung Bright Gas 12 Kg,475000,Tbg,Sembako,Gas
2004,"Tabung Bright Gas 5,5 kg",354000,Tbg,Sembako,Gas
2005,Tabung Elpiji 12 kg+Isi,550000,Tbg,Sembako,Gas
2006,Elpiji 3 Kg,22000,Tbg,Sembako,Gas
3003,Beras Cianjur 5 kg,81000,Krg,Sembako,Beras
3004,Beras Cianjur 10 kg,160000,Krg,Sembako,Beras
3005,Beras Dua Desa 5 kg,50000,Krg,Sembako,Beras
3006,Beras Dua Desa 10 kg,100000,Krg,Sembako,Beras
3007,Minyak Sania 2 Ltr,39000,Pcs,Sembako,Minyak
3008,Minyak Freshku 2 Ltr,23500,Pcs,Sembako,Minyak
3009,Tepung Terigu 1 kg,11500,Kg,Sembako,Tepung
3010,Gula Pasir 1 kg 01,13000,Kg,Sembako,Gula
3011,Filma Margarin,6000,Pcs,Sembako,Margarin
